name,moa,target,disease_area,indication,phase
cefdinir,bacterial cell wall synthesis inhibitor,MPO,"infectious disease, otolaryngology, pulmonary","pneumonia, tonsillitis, pharyngitis, bronchitis, skin infections, otitis, sinusitis",Launched
cefditoren-pivoxil,bacterial cell wall synthesis inhibitor,,"infectious disease, pulmonary, otolaryngology","pneumonia, bronchitis, skin infections, tonsillitis, pharyngitis",Launched
cefpiramide,bacterial cell wall synthesis inhibitor,,infectious disease,gram-negative bacterial infections,Launched
cephalomannine,DNA polymerase inhibitor,,,,Preclinical
cetrimonium,,,dermatology,cosmetic,Launched
cetylpyridinium,,,dental,"gingivitis, mouth inflammation",Launched
chicago-sky-blue-6b,"glutamate inhibitor, macrophage migration inhibiting factor inhibitor",MIF,,,Preclinical
chidamide,HDAC inhibitor,"HDAC10, HDAC3",,,Launched
chlorambucil,DNA inhibitor,,hematologic malignancy,"chronic lymphocytic leukemia (CLL), Hodgkin's lymphoma",Launched
chloramphenicol-palmitate,protein synthesis inhibitor,,"infectious disease, endocrinology","meningitis, fever, cholera",Launched
chlorhexidine,membrane integrity inhibitor,,"dermatology, infectious disease, dental","cosmetic, skin infections, gingivitis",Launched
chlorindanol,,,,,Preclinical
chlormidazole,fungal lanosterol demethylase inhibitor,,infectious disease,fungal infection,Launched
chlorogenic-acid,antioxidant,SLC37A4,"neurology/psychiatry, pulmonary, allergy","headache, chest congestion, allergic rhinitis",Launched
chloropyramine,histamine receptor antagonist,HRH1,"cardiology, ophthalmology, allergy, pulmonary","edema, conjunctivitis, allergic rhinitis, asthma",Launched
chloroxine,opioid receptor antagonist,OPRK1,"gastroenterology, infectious disease, dermatology","diarrhea, inflammatory bowel disease, giardiasis, dandruff",Launched
chlorpropamide,ATP channel blocker,"ABCC8, KCNJ10, KCNJ11",endocrinology,diabetes mellitus,Launched
chlorpyrifos,acetylcholinesterase inhibitor,ACHE,,,Launched
chlorquinaldol,other antibiotic,,infectious disease,fungal infection,Launched
cholecalciferol,,VDR,endocrinology,vitamin D deficiency,Launched
chromocarb,antispasmodic,,,,Launched
cibenzoline,sodium channel blocker,,,,Launched
ciclesonide,glucocorticoid receptor agonist,"NR3C1, SERPINA6",allergy,allergic rhinitis,Launched
ciclopirox,membrane integrity inhibitor,ATP1A1,infectious disease,onychomycosis,Launched
cidofovir,DNA polymerase inhibitor,,infectious disease,"acquired immunodeficiency syndrome (AIDS), cytomegalovirus retinitis",Launched
cilostamide,phosphodiesterase inhibitor,"PDE3A, PDE3B",,,Preclinical
cimetidine,histamine receptor antagonist,"HRH2, SLC29A4, SLC47A1, SLC47A2","gastroenterology, hematologic malignancy, endocrinology","duodenal ulcer disease, peptic ulcer disease (PUD), gastroesophageal reflux disease (GERD), aggressive systemic mastocytosis (ASM), Zollinger-Ellison syndrome, endocrine adenoma",Launched
cinacalcet,calcium channel activator,CASR,"endocrinology, nephrology, oncology","hyperparathyroidism, chronic kidney disease (CKD), parathyroid carcinoma, hypercalcemia",Launched
cinalukast,leukotriene receptor antagonist,CYSLTR1,,,Phase 2
cinnarazine,calcium channel blocker,,"neurology/psychiatry, gastroenterology, ophthalmology","Meniere's disease, nausea, vomiting, Cogan's syndrome",Launched
cinromide,,,,,Phase 3
ciprofibrate,PPAR receptor agonist,PPARA,endocrinology,hyperlipidemia,Launched
cisplatin,"DNA alkylating agent, DNA synthesis inhibitor",XIAP,oncology,"testicular carcinoma, ovarian cancer, bladder cancer",Launched
cladribine,"adenosine deaminase inhibitor, ribonucleotide reductase inhibitor","ADA, PNP, POLA1, POLE, POLE2, POLE3, POLE4, RRM1, RRM2, RRM2B",hematologic malignancy,hairy cell leukemia,Launched
clebopride,dopamine receptor antagonist,"ACHE, DRD2",gastroenterology,nausea,Launched
clenbuterol,adrenergic receptor agonist,"ADRB1, ADRB2, ADRB3, NGF, TNF",pulmonary,"chronic obstructive pulmonary disease (COPD), asthma",Launched
clindamycin-phosphate,protein synthesis inhibitor,,obstetrics/gynecology,bacterial vaginosis,Launched
clobetasol-propionate,glucocorticoid receptor agonist,"NR3C1, PLA2G1B",dermatology,corticosteroid-responsive dermatoses,Launched
clobutinol,antitussive,,,,Withdrawn
clocortolone-pivalate,steroid,"NR3C1, PLA2G1B",dermatology,corticosteroid-responsive dermatoses,Launched
clofarabine,ribonucleotide reductase inhibitor,"POLA1, POLD1, POLE, RRM1, RRM2, RRM2B",hematologic malignancy,acute lymphoblastic leukemia (ALL),Launched
clofazimine,GK0582 inhibitor,,infectious disease,leprosy,Launched
clofibrate,PPAR receptor agonist,"LPL, PPARA","endocrinology, cardiology","hyperlipidemia, cholesterol",Launched
clofoctol,protein synthesis inhibitor,,infectious disease,gram-positive bacterial infections,Launched
clomifene,estrogen receptor antagonist,ESR1,obstetrics/gynecology,infertility,Launched
clonazepam,GABA benzodiazepine site receptor agonist,"GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, TSPO",neurology/psychiatry,"seizures, panic disorders",Launched
clopamide,sodium/chloride cotransporter inhibitor,,cardiology,hypertension,Launched
clotrimazole,"cytochrome P450 inhibitor, imidazoline receptor ligand","CYP3A4, KCNN4, NR1I2, NR1I3, TRPM2, TRPM4, TRPM8",infectious disease,"vulvovaginal candidiasis, oropharyngeal candidiasis",Launched
cobicistat,cytochrome P450 inhibitor,"CYP3A4, CYP3A43, CYP3A5, CYP3A7",infectious disease,human immunodeficiency virus (HIV-1),Launched
cobimetinib,MEK inhibitor,,oncology,melanoma,Launched
colchicine,microtubule inhibitor,"GLRA1, GLRA2, TUBA1A, TUBA1B, TUBA1C, TUBA3C, TUBA3D, TUBA3E, TUBA4A, TUBB, TUBB1, TUBB2A, TUBB2B, TUBB3, TUBB4A, TUBB4B, TUBB6, TUBB8","rheumatology, endocrinology","gout, fever",Launched
colforsin-daproate,adenylyl cyclase activator,,,,Launched
colfosceril-palmitate,pulmonary surfactant,,pulmonary,respiratory distress syndrome (RDS),Launched
colistin-b-sulfate,bacterial permeability inducer,,infectious disease,gram-negative bacterial infections,Launched
combretastatin-A-4,tubulin polymerization inhibitor,,,,Phase 2
costunolide,telomerase inhibitor,,,,Preclinical
creatine,,"CKB, CKM, CKMT1A, CKMT2, GAMT, SLC6A8",,,Launched
crenolanib,PDGFR tyrosine kinase receptor inhibitor,"CSF1R, FLT3, KIT, PDGFRA, PDGFRB",,,Phase 2
crizotinib,ALK tyrosine kinase receptor inhibitor,"ALK, MET",oncology,non-small cell lung cancer (NSCLC),Launched
crizotinib-(S),MTH1 inhibitor,NUDT1,,,Preclinical
cromakalim,,KCNJ8,,,Phase 2
crystal-violet,other antibiotic,,,,Launched
curcumin,"cyclooxygenase inhibitor, histone acetyltransferase inhibitor, lipoxygenase inhibitor, NFkB pathway inhibitor","APP, CA1, CA12, CA14, CA2, CA4, CA6, CA9, CYP3A4, DNMT3B, EP300, MMP13, MMP9, NOS2, PTGS1, PTGS2, XDH",,,Launched
cyclocytidine,"DNA synthesis inhibitor, RNA synthesis inhibitor",,,,Preclinical
cycloheximide,protein synthesis inhibitor,RPL3,,,Preclinical
cyclophosphamide,DNA alkylating agent,"CYP2A6, CYP2B6, CYP2C18, CYP2C19, CYP2C8, CYP2C9, CYP2D6, CYP3A4, CYP3A5, CYP3A7","hematologic malignancy, oncology","Hodgkin's lymphoma, small lymphocytic lymphoma (SLL), breast cancer, neuroblastoma, Burkitt's lymphoma, multiple myeloma, chronic lymphocytic leukemia (CLL), acute myeloid leukemia (AML), acute lymphoblastic leukemia (ALL), chronic myeloid leukemia (CML), true histiocytic lymphoma (THL), retinoblastoma, ovarian cancer",Launched
cyclosporin-a,calcineurin inhibitor,PPP3CA,"rheumatology, dermatology","rheumatoid arthritis, psoriasis",Launched
cyclosporine,calcineurin inhibitor,"ABCB11, CAMLG, FPR1, PPIA, PPIF, PPP3R2, SLC10A1, SLCO1B1, SLCO1B3","transplant, rheumatology, dermatology","organ rejection, rheumatoid arthritis, psoriasis",Launched
cyclovalone,breast cancer resistance protein inhibitor,ABCG2,gastroenterology,bile stimulation,Launched
cyclovirobuxin-d,calcium channel modulator,,,,Preclinical
cyproheptadine,histamine receptor antagonist,"ADRA1A, ADRA1B, ADRA1D, CHRM1, CHRM2, CHRM3, HRH1, HTR2A, HTR2C, HTR6, HTR7","allergy, otolaryngology, ophthalmology, dermatology","allergic rhinitis, vasomotor rhinitis, conjunctivitis, urticaria, dermatographism",Launched
cyproterone-acetate,androgen receptor antagonist,"ADORA1, AR",oncology,prostate cancer,Launched
cyromazine,,,,,Launched
cyt387,,"JAK1, JAK2, JAK3",,,Phase 3
cytarabine,ribonucleotide reductase inhibitor,"POLA1, POLB, POLD1, POLE",hematologic malignancy,"acute lymphoblastic leukemia (ALL), chronic lymphocytic leukemia (CLL), acute myeloid leukemia (AML), non-Hodgkin lymphoma (NHL)",Launched
cytochalasin-b,microtubule inhibitor,ACTB,,,Phase 2
cytochlor,,,,,Phase 1
dabrafenib,RAF inhibitor,"BRAF, LIMK1, NEK11, RAF1, SIK1",oncology,melanoma,Launched
dacarbazine,DNA alkylating agent,"PGD, POLA2","oncology, hematologic malignancy","melanoma, Hodgkin's lymphoma",Launched
dacinostat,HDAC inhibitor,"HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9",,,Phase 1
daclatasvir,HCV inhibitor,,infectious disease,hepatitis C,Launched
dacomitinib,EGFR inhibitor,"EGFR, ERBB2, ERBB4",,,Phase 3
dalcetrapib,cholesteryl ester transfer protein inhibitor,CETP,,,Phase 3
danazol,"estrogen receptor antagonist, progesterone receptor agonist","AR, CCL2, ESR1, GNRHR, GNRHR2, PGR","obstetrics/gynecology, cardiology","endometriosis, angioedema",Launched
danusertib,"Aurora kinase inhibitor, growth factor receptor inhibitor","AURKA, AURKB, AURKC, FGFR1, NTRK1, RET, SLK",,,Phase 2
dapivirine,non-nucleoside reverse transcriptase inhibitor,"CYP3A4, CYP3A5",,,Phase 3
darapladib,phospholipase inhibitor,PLA2G7,,,Phase 3
darifenacin,acetylcholine receptor antagonist,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5",urology,urinary incontinence,Launched
dasatinib,"Bcr-Abl kinase inhibitor, ephrin inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, src inhibitor, tyrosine kinase inhibitor","ABL1, ABL2, BLK, EPHA2, FGR, FRK, FYN, HCK, KIT, LCK, LYN, PDGFRB, SRC, SRMS, STAT5B, YES1",hematologic malignancy,"chronic myeloid leukemia (CML), acute lymphoblastic leukemia (ALL)",Launched
daunorubicin,"RNA synthesis inhibitor, topoisomerase inhibitor","TOP2A, TOP2B",hematologic malignancy,"acute myeloid leukemia (AML), acute lymphoblastic leukemia (ALL)",Launched
decitabine,DNA methyltransferase inhibitor,"DNMT1, DNMT3A","hematologic malignancy, hematology","myelodysplastic diseases (MDS), anemia, chronic myeloid leukemia (CML)",Launched
defactinib,focal adhesion kinase inhibitor,PTK2,,,Phase 2
deferasirox,chelating agent,CYP3A4,hematology,"transfusional hemosiderosis, thalassemia, iron overload",Launched
deflazacort,glucocorticoid receptor agonist,NR3C1,rheumatology,joint inflammation,Launched
deforolimus,mTOR inhibitor,MTOR,,,Phase 3
dehydrocholate-acid,,,,,Preclinical
delanzomib,proteasome inhibitor,"CMA1, CTSG, CYP3A4, ELANE",,,Phase 1/Phase 2
demecarium,acetylcholinesterase inhibitor,"ACHE, BCHE",ophthalmology,"intraocular pressure, glaucoma",Launched
deoxycorticosterone-acetate,progestogen hormone,NR3C2,,,Preclinical
dequalinium,PKC inhibitor,"KCNN1, KCNN3",,,Launched
desonide,glucocorticoid receptor agonist,"NR3C1, PLA2G1B",gastroenterology,Crohn's disease,Launched
desoxycortone,mineralocorticoid receptor agonist,"NR3C1, NR3C2",,,Preclinical
dexamethasone-acetate,glucocorticoid receptor agonist,,"endocrinology, rheumatology, allergy, gastroenterology, hematology, neurology/psychiatry, dermatology","hypercalcemia, rheumatoid arthritis, psoriatic arthritis, osteoarthritis, allergic rhinitis, ulcerative colitis, anemia, multiple sclerosis, enteritis, lupus, dermatitis herpetiformis (DH), nephrotic syndrome, psoriasis",Launched
dexrazoxane,"chelating agent, topoisomerase inhibitor","TOP2A, TOP2B",cardiology,cardiomyopathy,Launched
dianhydrogalactitol,DNA alkylating agent,,,,Phase 1
diaveridine,dihydrofolate reductase inhibitor,,,,Launched
diazooxonorleucine,glutamate receptor antagonist,,,,Phase 2
dichlorisone-acetate,,,,,Phase 2
dichloroacetate,pyruvate dehydrogenase kinase inhibitor,PDK1,,,Phase 3
dichlorvos,acetylcholinesterase inhibitor,,,,Launched
diclazuril,antiprotozoal agent,,infectious disease,equine protozoal myeloencephalitis (EPM),Launched
dicycloverine,acetylcholine receptor antagonist,"CHRM1, CHRM2, CHRM3",gastroenterology,irritable bowel syndrome,Launched
dienogest,progesterone receptor agonist,PGR,"endocrinology, obstetrics/gynecology","contraceptive, endometriosis",Launched
difluprednate,glucocorticoid receptor agonist,NR3C1,ophthalmology,endogenous uveitis,Launched
digitoxigenin,ATPase inhibitor,ATP1A1,,,Preclinical
digitoxin,ATPase inhibitor,ATP1A1,,,Launched
digoxigenin,steroid,,,,Preclinical
digoxin,ATPase inhibitor,ATP1A1,cardiology,"congestive heart failure, atrial fibrillation (AF)",Launched
dihydroartemisinin,antimalarial agent,,infectious disease,malaria,Launched
dihydroergocristine,"adrenergic receptor antagonist, prolactin inhibitor","ADRA1A, ADRB1, DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR2A, HTR3A, HTR4, HTR5A, HTR6, HTR7",,,Launched
dihydromyricetin,,,,,Preclinical
dimethisoquin,local anesthetic,,neurology/psychiatry,local anesthetic,Launched
dinaciclib,CDK inhibitor,"CDK1, CDK2, CDK5, CDK9",,,Phase 3
dioscin,apoptosis stimulant,CXCR3,,,Preclinical
diphemanil,acetylcholine receptor antagonist,CHRM3,neurology/psychiatry,spasms,Launched
diphenyleneiodonium,nitric oxide synthase inhibitor,"NOS2, NOS3",,,Preclinical
dirithromycin,bacterial 50S ribosomal subunit inhibitor,,pulmonary,bronchitis,Launched
disulfiram,"aldehyde dehydrogenase inhibitor, DNA methyltransferase inhibitor, TRPV agonist","ALDH2, DBH",neurology/psychiatry,abstinence from alcohol,Launched
docetaxel,tubulin polymerization inhibitor,"BCL2, MAP2, MAP4, MAPT, NR1I2, TUBB, TUBB1",oncology,"breast cancer, non-small cell lung cancer (NSCLC), prostate cancer, gastric adenocarcinoma, head and neck squamous cell carcinoma (HNSCC)",Launched
dofetilide,potassium channel blocker,"KCNH1, KCNH2, KCNJ12, KCNK2",,,Withdrawn
dolastatin-10,tubulin polymerization inhibitor,TUBB,,,Phase 2
dolutegravir,HIV integrase inhibitor,"CYP3A4, CYP3A5, CYP3A7, POU2F2, UGT1A1",infectious disease,human immunodeficiency virus (HIV-1),Launched
domiphen,,,,,Preclinical
domperidone,dopamine receptor antagonist,"DRD2, DRD3",infectious disease,fescue toxicosis,Launched
dorzolamide,carbonic anhydrase inhibitor,"CA1, CA12, CA14, CA2, CA4, CA7",ophthalmology,"intraocular pressure, glaucoma",Launched
dovitinib,"EGFR inhibitor, FGFR inhibitor, FLT3 inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor","CSF1R, EGFR, FGFR1, FGFR2, FGFR3, FLT1, FLT3, FLT4, INSR, KDR, KIT, PDGFRA, PDGFRB",,,Phase 3
doxercalciferol,vitamin D receptor agonist,VDR,"nephrology, endocrinology","chronic kidney disease (CKD), hyperparathyroidism",Launched
doxifluridine,thymidylate synthase inhibitor,TYMS,oncology,colorectal cancer,Launched
doxorubicin,topoisomerase inhibitor,TOP2A,"hematologic malignancy, oncology","acute lymphoblastic leukemia (ALL), acute myeloid leukemia (AML), Wilm's tumor, breast cancer, ovarian cancer, Hodgkin's lymphoma, bladder cancer, multiple myeloma",Launched
doxycycline,metalloproteinase inhibitor,MMP8,dental,periodontitis,Launched
dronedarone,adrenergic receptor antagonist,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, CACNA1C, CACNA1D, CACNA1F, CACNA1S, CACNB1, CACNB2, CACNB3, CACNB4, KCNA5, KCNH2, KCNK2, SCN1A",cardiology,atrial fibrillation (AF),Launched
drospirenone,mineralocorticoid receptor antagonist,"AR, NR3C2, PGR",endocrinology,contraceptive,Launched
ebastine,histamine receptor antagonist,"CYP3A4, HRH1",allergy,"allergic rhinitis, urticaria",Launched
ecamsule-triethanolamine,,,dermatology,"skin protectant, sunscreen lotion",Launched
echinomycin,DNA intercalating agent,,,,Phase 2
efonidipine-monoethanolate,"L-type calcium channel blocker, T-type calcium channel blocker","CACNA1C, CACNA1G",,,Launched
elacridar,P glycoprotein inhibitor,ABCB1,,,Phase 1
elesclomol,oxidative stress inducer,HSPA1A,,,Phase 3
eltrombopag,thrombopoietin receptor agonist,MPL,"hematology, infectious disease","anemia, hepatitis C, thrombocytopenia",Launched
embelin,"HCV inhibitor, XIAP inhibitor",XIAP,,,Preclinical
emetine,protein synthesis inhibitor,RPS2,,,Phase 2
endo-IWR-1,PARP inhibitor,"TNKS, TNKS2",,,Preclinical
enocitabine,DNA synthesis inhibitor,"CMPK1, RRM1, TYMS",,,Launched
enoximone,phosphodiesterase inhibitor,PDE3A,cardiology,congestive heart failure,Launched
entinostat,HDAC inhibitor,"HDAC1, HDAC2, HDAC3, HDAC9",,,Phase 3
enzalutamide,androgen receptor antagonist,AR,oncology,prostate cancer,Launched
epiandrosterone,steroid,G6PD,,,Preclinical
epinastine,histamine receptor antagonist,"ADRA1A, ADRA2A, HRH1, HRH2, HTR2A, HTR7",ophthalmology,conjunctivitis,Launched
epinephrine,"adrenergic receptor agonist, neurotransmitter","ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, ADRB3, PAH, TNF","cardiology, allergy, pulmonary","cardiac arrest, anaphylactic shock, asthma",Launched
epirubicin,topoisomerase inhibitor,"CHD1, TOP2A",oncology,breast cancer,Launched
eplerenone,cytochrome P450 inhibitor,NR3C2,cardiology,"congestive heart failure, hypertension",Launched
epothilone-a,microtubule stabilizing agent,,,,Preclinical
epothilone-b,"microtubule stabilizing agent, tubulin polymerization inhibitor","TUBA1A, TUBA1B, TUBA1C, TUBA3C, TUBA4A, TUBA8, TUBB, TUBB1, TUBB3, TUBB4A, TUBB4B",,,Phase 3
epothilone-d,"microtubule stabilizing agent, tubulin polymerization inhibitor","TUBA1A, TUBA1B, TUBA1C, TUBA3C, TUBA4A, TUBA8, TUBB, TUBB1, TUBB3, TUBB4A, TUBB4B",,,Phase 2
eprinomectin,benzodiazepine receptor agonist,,infectious disease,"gastrointestinal roundworms, lungworms",Launched
eprobemide,monoamine oxidase inhibitor,MAOA,neurology/psychiatry,depression,Launched
eprosartan,angiotensin receptor antagonist,AGTR1,cardiology,hypertension,Launched
eptifibatide,platelet aggregation inhibitor,"ITGA2B, ITGB3",cardiology,"acute coronary syndrome (ACS), percutaneous coronary intervention (PCI)",Launched
equol,estrogen receptor agonist,"ESR1, ESR2",,,Launched
erastin,ion channel antagonist,VDAC2,,,Preclinical
ercalcitriol,vitamin D receptor agonist,VDR,,,Phase 1
erdafitinib,FGFR inhibitor,"FGFR1, FGFR2, FGFR3, FGFR4",,,Phase 2
erlotinib,EGFR inhibitor,"EGFR, NR1I2",oncology,"non-small cell lung cancer (NSCLC), pancreatic cancer",Launched
erteberel,estrogen receptor agonist,"ESR1, ESR2",,,Phase 2
erythritol,,,,,Launched
estradiol,estrogen receptor agonist,"ESR1, ESR2, GPER1, KCNMA1, NR1I2",endocrinology,contraceptive,Launched
estradiol-benzoate,contraceptive agent,ESR1,,,Preclinical
estradiol-cypionate,estrogen receptor agonist,ESR1,endocrinology,"hypoestrogenism, menopause",Launched
estramustine,DNA alkylating agent,"ESR1, ESR2, MAP1A, MAP2",oncology,prostate cancer,Launched
estramustine-phosphate,"DNA synthesis inhibitor, microtubule inhibitor","ESR1, ESR2, MAP1A, MAP2",oncology,prostate cancer,Launched
estrone,"estrogen receptor agonist, estrogenic hormone","ESR1, ESR2",,,Launched
ethacridine-lactate-monohydrate,DNA intercalating agent,,,,Preclinical
ethinyl-estradiol,"estrogen receptor agonist, estrogenic hormone","ESR1, ESR2, NR1I2",endocrinology,contraceptive,Launched
etofylline-clofibrate,platelet aggregation inhibitor,PPARA,,,Launched
etomoxir,carnitine palmitoyltransferase inhibitor,CPT1A,,,Phase 2
etoposide,topoisomerase inhibitor,"TOP2A, TOP2B",oncology,non-small cell lung cancer (NSCLC),Launched
etoposide-phosphate,topoisomerase inhibitor,TOP2A,oncology,"testicular carcinoma, small cell lung cancer",Launched
evacetrapib,cholesteryl ester transfer protein inhibitor,CETP,,,Phase 3
everolimus,mTOR inhibitor,MTOR,"oncology, neurology/psychiatry, genetics, urology","breast cancer, neuroendocrine tumors of pancreatic origin (PNET), renal cell carcinoma (RCC), subependymal giant cell astrocytoma (SEGA), tuberous sclerosis complex (TSC), renal angiomyolipoma",Launched
evodiamine,"ATPase inhibitor, TRPV agonist",TRPV1,,,Preclinical
exatecan-mesylate,topoisomerase inhibitor,TOP1,,,Phase 3
exemestane,aromatase inhibitor,CYP19A1,oncology,breast cancer,Launched
famciclovir,DNA polymerase inhibitor,,"dental, infectious disease","cold sore, genitial herpes, shingles",Launched
famotidine,histamine receptor antagonist,HRH2,gastroenterology,heartburn,Launched
favipiravir,RNA polymerase inhibitor,,,,Phase 3
fdcyd,DNA methyltransferase inhibitor,,,,Phase 2
felbamate,glutamate receptor antagonist,"GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B",neurology/psychiatry,epilepsy,Launched
fenaclon,,,,,Preclinical
fenbendazole,tubulin polymerization inhibitor,TUBB,infectious disease,"gastrointestinal parasites, gastrointestinal roundworms",Launched
fendiline,calcium channel blocker,HTR2B,,,Preclinical
fenofibrate,PPAR receptor agonist,"MMP25, PPARA",endocrinology,"hypercholesterolemia, hypertriglyceridemia",Launched
fenoprofen,prostaglandin inhibitor,"PTGS1, PTGS2, SLC5A8",rheumatology,"rheumatoid arthritis, osteoarthritis",Launched
fenretinide,"apoptosis stimulant, retinoid receptor agonist",RARA,,,Phase 3
fexinidazole,,,,,Phase 2/Phase 3
filanesib,"kinesin inhibitor, kinesin-like spindle protein inhibitor",KIF11,,,Phase 3
filgotinib,JAK inhibitor,"JAK1, JAK2, JAK3, TYK2",,,Phase 2
finafloxacin,bacterial DNA gyrase inhibitor,,"infectious disease, pulmonary","intra-abdominal infections, chronic obstructive pulmonary disease (COPD), cystic fibrosis",Launched
fleroxacin,topoisomerase inhibitor,,"infectious disease, gastroenterology","gonorrhea, enteritis, diarrhea, respiratory tract infections",Launched
florfenicol,protein synthesis inhibitor,,pulmonary,bovine respiratory disease (BRD),Launched
floxuridine,DNA synthesis inhibitor,TYMS,oncology,colorectal cancer,Launched
flubendazole,tubulin polymerization inhibitor,TUBB,infectious disease,gastrointestinal parasites,Launched
fludarabine,ribonucleotide reductase inhibitor,"ADA, RRM1, RRM2",hematologic malignancy,chronic lymphocytic leukemia (CLL),Launched
fludarabine-phosphate,ribonucleotide reductase inhibitor,"DCK, POLA1, POLD1, POLE, RRM1, RRM2, RRM2B",hematologic malignancy,chronic lymphocytic leukemia (CLL),Launched
fludroxycortide,glucocorticoid receptor agonist,"NR3C1, SERPINA6","infectious disease, dermatology","skin infections, psoriasis",Launched
flufenamic-acid,chloride channel blocker,"AKR1C3, ANO1, AR, GJA1, GJA10, GJA3, GJA4, GJA5, GJA8, GJA9, GJB1, GJB2, GJB3, GJB4, GJB5, GJB6, GJB7, GJC1, GJC2, GJC3, GJD2, GJD3, GJD4, GJE1, PANX1, PANX2, PANX3, PKD2L1, PTGS1, PTGS2, TRPC5, TRPM2, TRPM5",,,Preclinical
flumatinib,Bcr-Abl kinase inhibitor,"ABL1, PDGFRB",,,Phase 3
flumethasone,glucocorticoid receptor agonist,"NR3C1, PLA2G1B",dermatology,corticosteroid-responsive dermatoses,Launched
flumethasone-pivalate,glucocorticoid receptor agonist,"NR3C1, SERPINA6",,,Launched
fluocinolone-acetonide,glucocorticoid receptor agonist,"NR3C1, SERPINA6",dermatology,seborrheic dermatitis,Launched
fluorometholone,glucocorticoid receptor agonist,NR3C1,ophthalmology,eye inflammation,Launched
fluoromethylcholine,,,,,Launched
fluroxene,local anesthetic,,,,Preclinical
flutamide,androgen receptor antagonist,"AHR, AR",oncology,prostate cancer,Launched
fluticasone-propionate,glucocorticoid receptor agonist,"NR3C1, NR3C2, PGR, PLA2G4A",dermatology,corticosteroid-responsive dermatoses,Launched
fluvastatin,HMGCR inhibitor,HMGCR,"endocrinology, cardiology","hypercholesterolemia, congenital heart defects",Launched
foretinib,VEGFR inhibitor,"FLT1, FLT4, KDR, MET",,,Phase 2
formestane,aromatase inhibitor,CYP19A1,oncology,breast cancer,Launched
forodesine,purinergic receptor antagonist,PNP,,,Phase 2
forskolin,adenylyl cyclase activator,"ADCY2, ADCY5, GNAS",,,Launched
fosbretabulin,"tubulin polymerization inhibitor, VE-cadherin antagonist",CDH5,,,Phase 3
foscarnet,DNA polymerase inhibitor,,infectious disease,"cytomegalovirus retinitis, acquired immunodeficiency syndrome (AIDS), virus herpes simplex (HSV)",Launched
frentizole,immunosuppressant,,,,Phase 1
ftorafur,thymidylate synthase inhibitor,TYMS,oncology,colorectal cancer,Launched
fudosteine,mucolytic agent,,pulmonary,chest congestion,Launched
fulvestrant,estrogen receptor antagonist,"ESR1, ESR2, GPER1",oncology,breast cancer,Launched
galeterone,androgen receptor modulator,"AR, CYP17A1",,,Phase 3
gambogic-acid,caspase activator,BCL2,,,Phase 2
gamma-aminobutyric-acid,benzodiazepine receptor agonist,"GABBR1, GABBR2, GABRA1, GABRA2, GABRA3, GABRA5, GABRB2, GABRG2, GATM, KCTD12, KCTD16, KCTD8, SLC6A1",,,Preclinical
ganetespib,HSP inhibitor,HSP90AA1,,,Phase 3
gastrodin,,,,,Phase 2
gefitinib,EGFR inhibitor,EGFR,oncology,non-small cell lung cancer (NSCLC),Launched
gemcitabine,ribonucleotide reductase inhibitor,"CMPK1, RRM1, RRM2, TYMS",oncology,"ovarian cancer, breast cancer, non-small cell lung cancer (NSCLC), pancreatic cancer",Launched
genipin,choleretic agent,,,,Preclinical
genz-644282,topoisomerase inhibitor,TOP1,,,Phase 1
gestrinone,progesterone receptor antagonist,"AR, ESR1, PGR",obstetrics/gynecology,endometriosis,Launched
gidazepam,GABA benzodiazepine site receptor agonist,,,,Launched
gilteritinib,FLT3 inhibitor,FLT3,,,Phase 3
gimeracil,dihydropyrimidine dehydrogenase inhibitor,DPYD,oncology,gastric adenocarcinoma,Launched
ginkgolide-a,GABA receptor antagonist,"GLRA1, GLRB",,,Preclinical
givinostat,HDAC inhibitor,"HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9",,,Phase 2
golgicide-a,ARF inhibitor,GBF1,,,Preclinical
golvatinib,VEGFR inhibitor,"KDR, MET",,,Phase 2
gossypol,"BCL inhibitor, MCL1 inhibitor",BCL2,,,Phase 2
guanidine,HSP inhibitor,"ALDH2, DLG4, GAMT, RNASE1",neurology/psychiatry,Lambert-Eaton myasthenic syndrome (LEMS),Launched
halcinonide,glucocorticoid receptor agonist,NR3C1,dermatology,corticosteroid-responsive dermatoses,Launched
